"index";"mediana";"mean global";"desvio";"mean blue";"desv blue";"mean green";"desv green";"mean red";"desv red";"R/G mean";"R/B mean";"R/G desv";"R/B desv"
0;"74,000";"89,400";"40,964";"145,600";"1,673";"73,000";"2,884";"49,600";"3,406";"0,679";"0,341";"1,181";"29,642"
1;"74,000";"90,000";"40,969";"146,200";"1,720";"73,600";"2,966";"50,200";"3,481";"0,682";"0,343";"1,174";"29,178"
2;"74,500";"90,450";"40,960";"146,650";"1,639";"74,050";"2,808";"50,650";"3,333";"0,684";"0,345";"1,187";"30,896"
3;"75,000";"91,000";"40,964";"147,200";"1,709";"74,600";"2,881";"51,200";"3,397";"0,686";"0,348";"1,179";"29,963"
4;"75,000";"91,240";"40,229";"146,440";"2,364";"74,950";"3,083";"52,330";"3,685";"0,698";"0,357";"1,195";"22,140"
5;"80,000";"96,523";"38,970";"148,810";"5,401";"80,280";"8,316";"60,480";"12,679";"0,753";"0,406";"1,525";"11,197"
6;"93,000";"105,583";"35,649";"151,030";"11,999";"90,280";"14,814";"75,440";"15,524";"0,836";"0,500";"1,048";"6,287"
7;"78,000";"95,233";"39,118";"149,240";"3,347";"77,050";"4,819";"59,410";"5,048";"0,771";"0,398";"1,047";"17,750"
8;"91,000";"103,727";"36,311";"151,070";"11,191";"89,170";"11,994";"70,940";"12,575";"0,796";"0,470";"1,048";"6,339"
9;"91,000";"105,617";"35,264";"152,430";"9,610";"89,730";"10,800";"74,690";"11,014";"0,832";"0,490";"1,020";"7,772"
10;"121,500";"125,200";"27,968";"158,910";"7,049";"111,040";"14,557";"105,650";"19,130";"0,951";"0,665";"1,314";"14,989"
11;"149,000";"146,957";"22,800";"166,960";"12,804";"136,700";"18,343";"137,210";"21,421";"1,004";"0,822";"1,168";"10,716"
12;"137,000";"139,077";"20,813";"162,020";"8,778";"129,270";"12,712";"125,940";"16,301";"0,974";"0,777";"1,282";"14,347"
13;"150,000";"143,047";"33,296";"162,500";"14,578";"134,090";"33,089";"132,550";"38,073";"0,989";"0,816";"1,151";"9,092"
14;"176,000";"177,307";"6,705";"174,140";"4,699";"173,820";"4,883";"183,960";"4,743";"1,058";"1,056";"0,971";"39,149"
15;"176,000";"177,777";"8,601";"171,970";"3,585";"175,860";"7,409";"185,500";"7,560";"1,055";"1,079";"1,020";"51,750"
16;"167,000";"167,060";"8,185";"169,100";"4,884";"162,840";"7,953";"169,240";"9,335";"1,039";"1,001";"1,174";"34,654"
17;"149,000";"150,480";"13,328";"164,970";"6,466";"142,030";"8,940";"144,440";"9,661";"1,017";"0,876";"1,081";"22,338"
18;"124,500";"123,833";"29,555";"154,780";"13,261";"111,210";"21,439";"105,510";"23,068";"0,949";"0,682";"1,076";"7,956"
19;"143,500";"143,217";"19,087";"161,480";"10,105";"133,820";"14,634";"134,350";"16,619";"1,004";"0,832";"1,136";"13,295"
20;"134,000";"130,363";"24,563";"156,600";"8,351";"118,980";"15,986";"115,510";"21,124";"0,971";"0,738";"1,321";"13,832"
21;"127,000";"128,090";"23,564";"156,030";"5,289";"116,460";"12,752";"111,780";"17,124";"0,960";"0,716";"1,343";"21,136"
22;"111,000";"119,200";"24,819";"151,360";"6,984";"106,020";"8,972";"100,220";"12,267";"0,945";"0,662";"1,367";"14,351"
23;"98,000";"104,117";"36,456";"148,000";"12,209";"88,650";"17,744";"75,700";"23,468";"0,854";"0,511";"1,323";"6,200"
24;"69,000";"86,790";"40,202";"141,020";"7,075";"71,170";"7,299";"48,180";"8,346";"0,677";"0,342";"1,143";"6,810"
25;"82,500";"98,993";"38,742";"152,260";"3,148";"82,810";"3,549";"61,910";"2,450";"0,748";"0,407";"0,690";"19,664"
26;"83,000";"99,410";"38,600";"152,510";"2,555";"83,310";"3,270";"62,410";"2,219";"0,749";"0,409";"0,678";"24,423"
27;"83,000";"99,653";"38,466";"152,520";"2,586";"83,670";"3,782";"62,770";"2,668";"0,750";"0,412";"0,705";"24,269"
28;"84,000";"100,473";"38,461";"153,340";"2,503";"84,490";"3,703";"63,590";"2,635";"0,753";"0,415";"0,712";"25,407"
29;"86,000";"102,133";"38,378";"154,850";"3,327";"86,060";"3,878";"65,490";"3,526";"0,761";"0,423";"0,909";"19,686"
30;"125,000";"122,920";"34,541";"163,150";"11,836";"108,850";"19,175";"96,760";"23,890";"0,889";"0,593";"1,246";"8,175"
31;"152,000";"146,143";"29,054";"172,070";"14,670";"135,390";"23,640";"130,970";"27,209";"0,967";"0,761";"1,151";"8,928"
32;"142,000";"134,420";"32,972";"165,500";"13,441";"122,720";"26,459";"115,040";"30,037";"0,937";"0,695";"1,135";"8,559"
33;"117,000";"123,270";"30,211";"160,950";"10,048";"111,280";"13,079";"97,580";"15,576";"0,877";"0,606";"1,191";"9,711"
34;"100,500";"113,220";"35,297";"158,790";"10,513";"99,680";"12,109";"81,190";"13,953";"0,815";"0,511";"1,152";"7,723"
35;"93,000";"108,797";"37,018";"158,950";"5,300";"94,090";"5,857";"73,350";"7,777";"0,780";"0,461";"1,328";"13,840"
36;"91,000";"107,917";"36,022";"156,500";"5,518";"92,530";"6,995";"74,720";"10,687";"0,808";"0,477";"1,528";"13,541"
37;"122,000";"119,143";"35,460";"160,120";"10,824";"106,270";"19,636";"91,040";"25,198";"0,857";"0,569";"1,283";"8,411"
38;"135,000";"137,047";"27,304";"163,640";"11,027";"126,340";"20,787";"121,160";"24,670";"0,959";"0,740";"1,187";"10,988"
39;"168,000";"164,060";"15,909";"173,370";"7,145";"157,880";"15,153";"160,930";"18,547";"1,019";"0,928";"1,224";"22,523"
40;"167,000";"163,267";"15,497";"171,080";"7,254";"157,390";"14,892";"161,330";"18,620";"1,025";"0,943";"1,250";"22,242"
41;"151,000";"147,677";"17,029";"164,720";"3,983";"139,030";"11,767";"139,280";"16,730";"1,002";"0,846";"1,422";"34,972"
42;"142,500";"135,020";"27,568";"162,490";"8,518";"125,430";"18,801";"117,140";"26,225";"0,934";"0,721";"1,395";"13,753"
43;"99,500";"110,833";"33,931";"154,300";"5,834";"97,480";"12,048";"80,720";"17,330";"0,828";"0,523";"1,438";"13,837"
44;"107,500";"113,433";"37,954";"159,720";"8,934";"98,910";"16,985";"81,670";"24,310";"0,826";"0,511";"1,431";"9,141"
45;"83,000";"101,193";"38,420";"153,500";"2,903";"85,640";"5,253";"64,440";"7,979";"0,752";"0,420";"1,519";"22,194"
46;"82,000";"100,023";"39,343";"153,860";"4,147";"82,940";"5,276";"63,270";"7,584";"0,763";"0,411";"1,437";"15,256"
47;"94,000";"106,253";"34,172";"151,670";"6,464";"92,320";"8,601";"74,770";"11,804";"0,810";"0,493";"1,372";"11,567"
48;"98,500";"109,993";"33,493";"154,100";"6,014";"94,200";"10,003";"81,680";"15,255";"0,867";"0,530";"1,525";"13,581"
49;"78,000";"93,730";"40,037";"148,520";"3,748";"77,470";"3,913";"55,200";"5,348";"0,713";"0,372";"1,367";"14,727"
50;"95,000";"108,500";"37,944";"160,300";"1,863";"94,300";"3,113";"70,900";"2,729";"0,752";"0,442";"0,877";"38,061"
51;"94,000";"108,457";"37,625";"159,730";"2,073";"94,600";"3,481";"71,040";"3,101";"0,751";"0,445";"0,891";"34,270"
52;"95,000";"108,673";"37,109";"159,140";"2,010";"95,340";"3,581";"71,540";"3,300";"0,750";"0,450";"0,921";"35,591"
53;"96,000";"109,793";"37,083";"160,260";"1,741";"96,460";"3,201";"72,660";"2,944";"0,753";"0,453";"0,919";"41,726"
54;"96,000";"110,427";"37,194";"160,970";"1,797";"97,370";"2,962";"72,940";"2,796";"0,749";"0,453";"0,944";"40,591"
55;"98,000";"111,453";"37,303";"162,180";"3,380";"98,010";"2,900";"74,170";"3,280";"0,757";"0,457";"1,131";"21,941"
56;"98,000";"114,480";"36,220";"163,810";"5,243";"98,620";"6,175";"81,010";"8,050";"0,821";"0,495";"1,304";"15,450"
57;"104,000";"118,810";"33,686";"163,710";"4,506";"104,730";"8,786";"87,990";"11,938";"0,840";"0,537";"1,359";"19,526"
58;"110,000";"121,947";"31,578";"163,840";"6,935";"108,220";"8,983";"93,780";"11,217";"0,867";"0,572";"1,249";"13,523"
59;"103,000";"117,133";"36,363";"164,700";"8,068";"104,090";"10,331";"82,610";"13,057";"0,794";"0,502";"1,264";"10,239"
60;"98,000";"111,783";"37,072";"162,250";"1,723";"98,450";"2,991";"74,650";"2,751";"0,758";"0,460";"0,920";"43,335"
